State Name,State Code,Year 2019,Year 2018,Year 2017,Year 2016,Year 2015,Year 2014,Year 2013,Year 2012,Year 2011,Year 2010
ALABAMA,1,10107,9717,9528,9258,9146,9036,8773,8577,8726,8907
ALASKA,2,18393,17726,17838,17510,20191,18466,18217,17475,16663,15829
ARIZONA,4,8773,8373,8053,7772,7590,7457,7495,7382,7782,7968
ARKANSAS,5,10412,10168,10004,9900,9805,9752,9538,9536,9496,9281
CALIFORNIA,6,13831,12664,12151,11420,10449,9671,9258,9329,9146,9300
COLORADO,8,11072,10238,9849,9619,9292,9036,8693,8594,8786,8926
CONNECTICUT,9,21140,20147,19929,19615,19020,18401,17321,16855,16224,15698
DELAWARE,10,15929,15282,14892,14397,13882,13793,13653,13580,12467,12222
DISTRICT OF COLUMBIA,11,22984,23161,22561,21135,20610,20577,20530,19847,20793,20910
FLORIDA,12,9986,9663,9374,9176,9113,8955,8623,8520,9030,8863
GEORGIA,13,11203,10760,10274,9835,9476,9236,9121,9272,9259,9432
HAWAII,15,16132,15242,14322,13748,12855,12400,11743,11973,11924,11714
IDAHO,16,8043,7846,7554,7178,6899,6577,6761,6626,6821,7100
ILLINOIS,17,16281,15912,15517,14327,13935,13213,12443,12011,11742,11739
INDIANA,18,10252,10033,9823,9691,9529,9396,9421,9588,9251,9479
IOWA,19,11933,11724,11456,11148,10938,10647,10291,10027,9795,9748
KANSAS,20,11328,11095,10428,10216,10329,10240,10011,10021,9802,9972
KENTUCKY,21,11280,11081,10083,9831,9560,9411,9274,9327,9228,8957
LOUISIANA,22,11920,11636,11379,11169,11106,10853,10539,10726,10799,10701
MAINE,23,15686,15069,14633,14202,13976,13267,12655,12335,12576,12452
MARYLAND,24,15576,15155,14933,14523,14431,14217,14086,13871,14123,14007
MASSACHUSETTS,25,19196,18328,17718,16986,16566,15886,15321,14844,14285,14699
MICHIGAN,26,12052,11688,11256,11051,10956,10649,10515,10477,10577,10447
MINNESOTA,27,13297,12910,12635,12364,11924,11427,11065,10781,10674,10665
MISSISSIPPI,28,9253,8909,8755,8692,8445,8265,8117,8097,7926,8104
MISSOURI,29,11349,11034,10684,10385,10231,9938,9702,9514,9461,9721
MONTANA,30,11984,11512,11538,11374,11078,10941,10662,10569,10719,10565
NEBRASKA,31,12746,12813,12662,12379,12174,11877,11743,11640,11540,11460
NEVADA,32,9280,9040,9120,8753,8451,8275,8026,8130,8411,8376
NEW HAMPSHIRE,33,17457,16588,15958,15535,14969,14601,14050,13774,13548,13072
NEW JERSEY,34,21328,20316,19585,19041,18838,18780,18523,17982,16855,17379
NEW MEXICO,35,10466,9963,9949,9959,9724,9403,9164,9013,9250,9621
NEW YORK,36,24882,23606,22861,22231,20744,20156,19529,19396,18834,18167
NORTH CAROLINA,37,9799,9311,8995,8717,8529,8287,8342,8160,8267,8225
NORTH DAKOTA,38,14033,13783,13767,13358,12909,12032,11615,11246,10898,10519
OHIO,39,13433,12893,12569,11933,11730,11434,11276,11323,11395,11224
OKLAHOMA,40,9203,8174,7921,8091,8075,7995,7914,7763,7631,7929
OREGON,41,12457,11903,11252,10823,10457,9959,9183,9485,9516,9268
PENNSYLVANIA,42,16892,16377,15782,15165,14405,13824,13445,13091,13096,12729
RHODE ISLAND,44,17539,16954,16620,16082,15797,15372,14889,15172,14948,14723
SOUTH CAROLINA,45,10994,10705,10419,10045,9831,9608,9444,9077,8903,9080
SOUTH DAKOTA,46,10325,10263,10117,9335,9103,9036,8630,8593,8931,9020
TENNESSEE,47,9941,9599,9246,8876,8759,8662,8588,8354,8484,8117
TEXAS,48,9868,9652,9520,9352,9081,8602,8261,8213,8685,8788
UTAH,49,7950,7576,7206,7006,6751,6546,6432,6441,6326,6452
VERMONT,50,21217,20219,19480,19023,18769,18066,17286,16651,14707,16006
VIRGINIA,51,12642,12224,11885,11435,11235,10955,10960,10656,10363,10594
WASHINGTON,53,14342,12986,11971,11484,10684,10305,9714,9617,9619,9497
WEST VIRGINIA,54,12269,11572,11745,11424,11512,11371,11257,11579,11978,11730
WISCONSIN,55,12690,12446,11962,11664,11538,11345,11186,11233,11946,11453
WYOMING,56,16228,16134,16513,16431,16047,15903,15815,15988,15815,15232
